City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,79.72,clear sky,-23.1203,-134.9692,Pension Maro'i
6,Kiama,AU,72.0,few clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
14,Hirara,JP,75.2,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
17,Victoria,HK,75.99,clear sky,22.2855,114.1577,Mini Hotel Central
18,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
21,Kulhudhuffushi,MV,83.3,overcast clouds,6.6221,73.07,Haajy Guest House 1
23,San Patricio,US,86.0,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
26,Cancun,MX,80.6,scattered clouds,21.1743,-86.8466,Hotel Tankah Cancun
33,Butaritari,KI,81.19,light rain,3.0707,172.7902,Isles Sunset Lodge
34,Kapaa,US,78.8,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
36,Nata,PA,84.2,few clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
39,Quatre Cocos,MU,77.0,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
45,Hervey Bay,AU,80.6,clear sky,-25.2986,152.8535,Shelly Bay Resort
46,Cidreira,BR,72.99,overcast clouds,-30.1811,-50.2056,Hotel Castelo
47,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
53,Bambous Virieux,MU,77.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
58,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
67,Cape Canaveral,US,77.0,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
70,Biak,ID,79.38,light rain,-0.9131,122.8766,Penginapan Kim
71,Benjamin Hill,MX,79.0,clear sky,30.1667,-111.1,Luis Guillermo García Medina
72,Nhulunbuy,AU,77.0,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
74,Saint-Joseph,RE,75.2,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
76,Catio,GW,75.2,overcast clouds,11.2833,-15.25,Pausada Morabedja
77,Kalmunai,LK,77.95,overcast clouds,7.4167,81.8167,VS Villa
79,Puerto Ayora,EC,79.0,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,Namibe,AO,74.89,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
83,Abu Dhabi,AE,77.0,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
84,Atuona,PF,81.05,light rain,-9.8,-139.0333,Villa Enata
92,Perbaungan,ID,75.2,mist,3.5679,98.956,Bendang Lama
93,Basco,PH,79.86,clear sky,20.4487,121.9702,Nathaniel's Lodge
94,Galesong,ID,78.8,few clouds,-5.3166,119.3661,Sapriadi Appy
95,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
100,Faanui,PF,82.72,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
102,Padang,ID,77.0,broken clouds,-0.9492,100.3543,Mercure Padang
108,Aneho,TG,82.4,few clouds,6.2333,1.6,Hotel La Linette
110,Bengkulu,ID,75.16,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
112,Saint-Philippe,RE,75.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
114,Ban Phai,TH,82.99,overcast clouds,16.06,102.73100000000001,Inpawa Hotel
115,Mahebourg,MU,73.4,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
116,Paciran,ID,79.32,scattered clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
122,Aquiraz,BR,77.0,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
124,Nova Londrina,BR,76.77,moderate rain,-22.7658,-52.985,HOTEL FELICE
125,Hithadhoo,MV,83.28,moderate rain,-0.6,73.0833,Scoop Guest House
127,Manoel Urbano,BR,75.2,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
129,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
130,Catuday,PH,80.73,broken clouds,16.2923,119.8062,GResort
132,Sechura,PE,77.81,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
135,Wattegama,LK,74.25,heavy intensity rain,6.7989,81.4808,
137,Waingapu,ID,81.68,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
140,Nouakchott,MR,71.6,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
141,Mandiana,GN,82.8,few clouds,10.6333,-8.6833,Centre d'accueil de Mandiana
148,Rodeo,US,78.8,clear sky,38.033,-122.2669,Captain's Cottage
