City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,63.19,71,0,7.36,light rain
1,Marzuq,YE,14.4,46.4667,64.2,40,17,5.53,few clouds
2,Rikitea,PF,-23.1203,-134.9692,79.72,69,1,17.27,clear sky
3,Severo-Kurilsk,RU,50.6789,156.125,27.5,83,98,35.63,light snow
4,Mataura,NZ,-46.1927,168.8643,61.0,87,99,3.0,overcast clouds
5,Bredasdorp,ZA,-34.5322,20.0403,51.8,87,28,4.61,scattered clouds
6,Kiama,AU,-34.6833,150.8667,72.0,65,14,3.0,few clouds
7,Jamestown,US,42.097,-79.2353,57.2,47,1,4.5,clear sky
8,Lata,PT,40.1629,-8.3327,46.99,84,27,1.01,scattered clouds
9,Ushuaia,AR,-54.8,-68.3,55.4,54,40,17.27,light rain
10,Ust-Omchug,RU,61.15,149.6333,1.09,88,90,2.26,overcast clouds
11,Cape Town,ZA,-33.9258,18.4232,63.0,63,0,5.75,clear sky
12,Saint George,US,37.1041,-113.5841,69.01,18,1,3.44,clear sky
13,Mikhaylovka,RU,50.06,43.2379,30.99,92,100,4.0,light snow
14,Hirara,JP,24.8,125.2833,75.2,94,75,16.11,broken clouds
15,Punta Arenas,CL,-53.15,-70.9167,48.2,71,0,46.04,light rain
16,Baglung,NP,28.2719,83.5898,57.78,24,48,6.8,scattered clouds
17,Victoria,HK,22.2855,114.1577,75.99,85,10,1.01,clear sky
18,Vaini,TO,-21.2,-175.2,86.0,74,75,6.91,broken clouds
19,Honningsvag,NO,70.9821,25.9704,36.9,96,100,14.12,overcast clouds
20,Hami,CN,42.8,93.45,51.93,58,100,8.21,overcast clouds
21,Kulhudhuffushi,MV,6.6221,73.07,83.3,73,90,12.5,overcast clouds
22,Dubuque,US,42.4833,-90.8668,52.0,81,75,11.5,broken clouds
23,San Patricio,US,28.017,-97.5169,86.0,73,90,21.85,overcast clouds
24,Sturgeon Falls,CA,46.3646,-79.9326,35.01,80,90,8.05,overcast clouds
25,East Liverpool,US,40.6187,-80.5773,66.2,42,1,5.75,clear sky
26,Cancun,MX,21.1743,-86.8466,80.6,74,40,13.8,scattered clouds
27,Sisimiut,GL,66.9395,-53.6735,-11.04,95,66,10.16,broken clouds
28,Saldanha,ZA,-33.0117,17.9442,55.4,76,1,3.44,clear sky
29,Oneonta,US,42.4529,-75.0638,46.99,76,96,3.53,overcast clouds
30,College,US,64.8569,-147.8028,26.6,54,90,11.5,overcast clouds
31,Pitea,SE,65.3172,21.4794,35.6,93,75,9.22,drizzle
32,Gornopravdinsk,RU,60.05,69.9,18.5,94,100,7.81,light snow
33,Butaritari,KI,3.0707,172.7902,81.19,79,92,13.06,light rain
34,Kapaa,US,22.0752,-159.319,78.8,69,40,12.66,scattered clouds
35,Severo-Yeniseyskiy,RU,60.3725,93.0408,14.7,98,92,4.61,overcast clouds
36,Nata,PA,8.3333,-80.5167,84.2,61,20,13.8,few clouds
37,Bethel,US,41.3712,-73.414,57.0,65,90,3.09,overcast clouds
38,Kodiak,US,57.79,-152.4072,35.6,38,1,28.77,clear sky
39,Quatre Cocos,MU,-20.2078,57.7625,77.0,94,75,5.75,broken clouds
40,Hasaki,JP,35.7333,140.8333,68.0,63,75,18.41,light rain
41,Port Lincoln,AU,-34.7333,135.8667,64.13,62,18,2.75,few clouds
42,Svetlaya,RU,46.5389,138.3297,36.63,83,54,6.53,broken clouds
43,Upernavik,GL,72.7868,-56.1549,-30.24,93,15,5.37,few clouds
44,Rio Negro,BR,-26.1058,-49.7975,61.0,94,95,1.99,overcast clouds
45,Hervey Bay,AU,-25.2986,152.8535,80.6,54,1,2.3,clear sky
46,Cidreira,BR,-30.1811,-50.2056,72.99,88,100,6.85,overcast clouds
47,Hilo,US,19.7297,-155.09,78.8,61,90,13.8,light rain
48,Brigantine,US,39.4101,-74.3646,55.99,58,1,10.36,clear sky
49,Albany,US,42.6001,-73.9662,54.0,58,79,1.9,broken clouds
50,Ossora,RU,59.2353,163.0719,19.24,83,100,14.92,overcast clouds
51,Mar Del Plata,AR,-38.0023,-57.5575,62.01,100,90,21.85,light rain
52,Caluquembe,AO,-13.7833,14.6833,58.33,95,100,2.98,overcast clouds
53,Bambous Virieux,MU,-20.3428,57.7575,77.0,94,75,5.75,broken clouds
54,Port Alfred,ZA,-33.5906,26.891,62.47,76,50,7.9,scattered clouds
